set_num,count,name,year,theme_id,num_parts
31062-1,1,Robo Explorer,2017,672,205
70821-1,1,Emmet and Benny's 'Build and Fix' Workshop!,2019,670,125
60181-1,3,Forest Tractor,2018,57,174
60180-1,1,Monster Truck,2018,64,192
70918-1,1,The Bat-Dune Buggy,2018,484,198
75187-1,1,BB-8,2017,158,1106
70901-1,1,Mr. Freeze Ice Attack,2017,484,201
10712-1,2,Bricks and Gears,2018,621,244
31058-1,1,Mighty Dinosaurs,2017,672,174
60138-1,1,High-speed Chase,2017,61,294
76133-1,1,Spider-Man Car Chase,2019,488,52
75237-1,1,TIE Fighter Attack,2019,158,77
75235-1,1,X-Wing Starfighter Trench Run,2019,158,132
75166-1,1,First Order Transport Speeder Battle Pack,2017,158,117
60159-1,1,Jungle Halftrack Mission,2017,614,378
76115-1,1,Spider Mech vs. Venom,2019,488,612
10754-1,1,Spider-Man vs. Scorpion Street Showdown,2018,596,125
75262-1,1,Imperial Dropship - 20th Anniversary Edition,2019,158,125
76104-1,1,The Hulkbuster Smash-Up,2018,493,378
31090-1,2,Underwater Robot,2019,672,207
75226-1,1,Inferno Squad Battle Pack,2019,158,118
21140-1,2,The Chicken Coop,2018,577,198
75223-1,1,Naboo Starfighter Microfighter,2019,158,62
75247-1,1,Rebel A-Wing Starfighter,2019,158,62
75172-1,1,Y-Wing Starfighter,2017,158,691
75230-1,1,Porg,2018,158,811
60183-1,1,Heavy Cargo Transport,2018,63,310
21145-1,1,The Skull Arena,2018,577,198
75183-1,1,Darth Vader Transformation,2017,158,290
21140-1,1,The Chicken Coop,2018,577,198
76113-1,1,Spider-Man Bike Rescue,2019,488,243
76102-1,1,Thor's Weapon Quest,2018,493,235
21152-1,1,The Pirate Ship Adventure,2019,577,386
10760-1,1,Underminer Bank Heist,2018,591,149
76108-1,1,Sanctum Santorum Showdown,2018,493,1026
21142-1,1,The Polar Igloo,2018,577,278
60184-1,1,Mining Team,2018,52,82
60229-1,1,Rocket Assembly & Transport,2019,679,1062
10717-1,2,Bricks Bricks Bricks,2018,621,1500
42090-1,1,Getaway Truck,2019,1,128
76127-1,2,Captain Marvel and The Skrull Attack,2019,493,307
42091-1,1,Police Pursuit,2019,1,120
31096-1,1,Twin-Rotor Helicopter,2019,672,569
60182-1,1,Pickup & Caravan,2018,52,344
75214-1,1,Anakin's Jedi Starfighter,2018,158,248
30364-1,1,Popcorn Cart,2019,52,43
60219-1,1,Construction Loader,2019,52,88
75189-1,1,First Order Heavy Assault Walker,2017,158,1375
41169-1,1,Olaf,2019,687,122
21143-1,1,The Nether Portal,2018,577,470
60224-1,1,Satellite Service Mission,2019,679,84
75947-1,1,Hagrid's Hut: Buckbeak's Rescue,2019,246,498
76107-1,1,Thanos: Ultimate Battle,2018,493,684
60205-1,1,Tracks,2018,233,20
70666-1,1,The Golden Dragon,2019,435,171
75254-1,1,AT-ST Raider,2019,158,540
75255-1,1,Yoda,2019,158,1752
75241-1,1,Action Battle Echo Base Defense,2019,158,504
31086-1,1,Futuristic Flyer,2019,672,157
75957-1,1,The Knight Bus,2019,246,404
75246-1,1,Death Star Cannon,2019,158,159
42070-1,1,6x6 All Terrain Tow Truck,2017,1,1862
